OPERADOR,SERVICIO,MODALIDAD,LOCALIDAD,INDICATIVO,BLOQUE,RESOLUCION,FECHA
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,4898,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MERCEDES (PROV.  BUENOS AIRES),2324,492,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,4991,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,4990,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,426,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,451,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,439,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,482,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,438,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,481,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,4893,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,4897,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,4892,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,4896,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,4907,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MERLO (PROV.  BUENOS AIRES),220,476,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,4805,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,428,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,488,SC 2233/98,36070
TELEFONICA DE ARGENTINA S.A.,SBT,BASICA,MENDOZA,261,498,SC 2233/98,36070
